B03002_003E,B01001_002E,B01001_003E,B19013_001E,B17001_002E,B25003_001E,B25070_001E,B25091_001E,B23025_003E,B23025_004E,B11009_001E,B16001_002E,B25064_001E,B25077_001E,B25058_001E,B25003_002E,B25003_003E,B25004_002E,B25004_003E,B25004_004E,B25004_005E,B25070_007E,B25070_008E,B25070_009E,B19057_002E,B25034_001E,B25034_010E,B25034_011E,B25035_001E,B07001_050E,B25106_001E,B25106_003E,B25106_006E,B25072_001E,B25011_002E,B25011_003E,B18101_009E,B25092_001E,B25095_001E,B25119_001E,B25119_002E,B25081_001E,B25081_002E,B25081_003E,B25014_001E,B25014_002E,B25014_003E,B08013_001E,B08014_001E,B25121_001E,state,county,tract,block group,B25121_002E,B07001_017E,B07001_033E,B25002_003E,B25004_001E,B01001_001E,B01002_001E,B02001_002E,B02001_003E,B02001_005E,B03002_012E,B11001_001E,B11001_002E,B11001_003E,B11001_005E,B11001_006E,B15003_017E,B15003_022E,B15003_025E,B23025_001E,B23025_002E,B23025_005E,B18101_001E,B18101_002E,B18101_003E,B25001_001E,B25002_002E,B25009_001E,B25009_002E,B25009_003E,B25074_001E,B25074_008E,B25074_009E,B25074_010E,B25105_001E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B25106_002E,B25106_004E,B08006_001E,B08006_002E,B08006_003E,B08006_008E,B08012_001E,B07001_001E,B25085_001E,B16001_001E,B16001_003E,B09002_001E,B19058_002E,B08006_007E,B08006_009E,B08006_010E,B08007_001E,B08008_001E,B08134_001E,B08141_001E,B08122_001E,B08126_001E,B08128_001E,B08130_001E,B08132_001E,B08136_001E,B08137_001E,B08201_001E,B08202_001E,B08203_001E,B01003_001E,B01002A_001E,B01002B_001E,B01002D_001E,B01002H_001E,B02008_001E,B05002_013E,B05002_014E,B05002_015E,B07003_001E,B07003_002E,B07003_003E,B07003_004E,B07003_005E,B07003_006E,B08011_001E,B08105A_001E,B08105B_001E,B08105D_001E,B08141_002E,B08141_003E,B08141_004E,B08141_005E,B08141_006E,B08141_007E,B08202_002E,B08202_003E,B08202_004E,B08202_005E,B08202_006E,B08303_001E,B08303_002E,B08303_003E,B08303_004E,B08303_005E,B08303_006E,B08303_007E,B08303_008E,B08303_009E,B08303_010E,B09010_001E,B11004_002E,B11013_001E,B14006_001E,B14006_002E,B14006_003E,B14006_004E,B15002_001E,B15002_003E,B15002_004E,B15002_005E,B15002_006E,B15002_007E,B15002_008E,B15002_009E,B16004_001E,B16004_002E,B16004_003E,B16004_004E,B16004_005E,B16004_006E,B16004_007E,B17010_002E,B17010_003E,B17010_004E,B17010_005E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19083_001E,B19301_001E,B23006_002E,B23006_003E,B23006_004E,B23022_001E,B23022_002E,B25032_001E,B25032_002E,B25032_003E,B25032_004E,B25032_005E,B25032_006E,B25032_007E,B25075_001E,B25075_002E,B25075_003E,B25075_004E,B25075_005E,B25075_006E,B25075_007E,B25075_008E,B25075_009E,B25110_001E,B25002_001E,B25010_001E,B25011_001E,B25012_001E,B25015_001E,B25031_001E,B25033_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25036_001E,B25036_002E,B25037_001E,B25037_002E,B25038_001E,B25038_002E,B25039_001E,B25039_002E,B25040_001E,B25040_002E,B25041_001E,B25041_002E,B25042_001E,B25043_001E,B25044_001E,B25045_001E,B25046_001E,B25047_001E,B25048_001E,B25049_001E,B25050_001E,B25051_001E,B25052_001E,B25053_001E,B25054_001E,B25055_001E,B25056_001E,B25057_001E,B25059_001E,B25060_001E,B25061_001E,B25062_001E,B25063_001E,B25065_001E,B25066_001E,B25067_001E,B25068_001E,B25069_001E,B25071_001E,B25076_001E,B25078_001E,B25079_001E,B25080_001E,B25082_001E,B25083_001E,B25086_001E,B25087_001E,B25088_001E,GEOID
218,393,27,76875,,319,140,179,469,469,,,1202,428900,1122,179,140,0,0,0,0,12,8,3,0,339,53,225,0,,,,,140,,,,12.8,,,,179,136,14,319,179,122,,,,11,001,010300,1,,,,20,20,930,29.7,387,363,39,279,319,198,123,19,56,135,115,39,715,493,0,,,,339,319,319,179,44,140,0,0,0,,0,0,0,0,,,,,,,,,0,,,177,3,,,,485,485,467,,,,,,,,,,,,930,29.7,46.4,34.1,32.4,407,,,,,,,,,,,,,,,,,,,,,,,,,467,0,70,18,15,52,0,95,16,55,,123,,,,,,616,0,0,0,17,0,0,0,861,167,71,85,67,18,0,18,0,0,0,319,0,18,9,0,3,26,27,18,0,21,,37869,,,,633,310,319,179,127,8,0,0,0,179,0,0,0,0,0,0,0,0,,339,2.51,,,319,,800,17,0,12,32,319,179,0,0,319,179,2005,2002,319,268,339,95,319,319,319,319,382,339,,319,319,339,,319,140,140,140,833,1518,171800,0,-666666666,140,179600,,179600,140,140,27.6,-666666666,476100,,,65417000,-666666666,-666666666,179,1763,110010103001
102,704,146,56163,,538,316,222,742,683,,,1191,593800,1167,222,316,19,0,0,0,31,41,34,0,582,178,145,1948,,,,,316,,,,23.2,,,,222,136,28,538,222,213,,,,11,001,001803,1,,,,44,44,1465,36.6,157,861,9,488,538,315,229,40,46,194,192,10,1001,745,59,,,,582,538,538,222,120,316,0,7,0,,0,0,0,0,,,,,,,,,0,,,497,25,,,,686,686,651,,,,,,,,,,,,1465,45.7,36.8,-666666666.0,41.7,167,,,,,,,,,,,,,,,,,,,,,,,,,651,0,17,48,17,72,114,218,24,31,,229,,,,,,938,16,0,44,28,37,0,0,1218,250,59,48,0,48,0,52,28,28,28,538,17,49,6,21,35,71,9,8,0,76,,29440,,,,758,400,538,222,87,61,0,7,0,222,0,0,0,0,0,0,0,0,,582,2.72,,,538,,1465,0,8,70,181,538,222,1949,0,538,222,2011,2002,538,442,582,19,538,538,538,538,681,582,,538,538,582,,538,316,316,316,1053,1310,372000,19,,316,390900,,390900,316,316,32.3,-666666666,799500,,,124375000,-666666666,-666666666,222,1446,110010018031
280,752,21,96167,,492,111,381,1041,966,,,2467,419200,2400,381,111,0,0,0,0,16,9,0,47,517,146,220,1943,,,,,111,,,,19.0,,,,381,274,31,492,381,322,,,,11,001,001901,3,,,,25,25,1585,36.1,489,803,111,360,492,337,185,41,111,124,462,9,1348,1041,75,,,,517,492,492,381,102,111,0,0,24,,0,0,0,0,,,,,,,,,0,,,196,78,,,,952,952,881,,,,,,,,,,,,1585,34.0,48.3,7.9,33.8,498,,,,,,,,,,,,,,,,,,,,,,,,,881,0,26,0,73,45,18,157,41,133,,185,,,,,,1222,0,0,0,0,0,0,0,1503,168,131,5,5,0,0,32,8,0,0,492,55,0,10,0,0,35,6,0,10,41,,38290,,,,1153,596,492,381,43,338,0,0,0,381,0,0,0,8,0,0,0,7,,517,3.20,,,492,,1574,0,5,0,146,492,381,1943,1944,492,381,2004,1996,492,445,517,0,492,492,492,492,674,517,,492,492,517,,492,80,80,111,-666666666,2744,157300,0,-666666666,111,175100,,175100,111,111,18.8,349200,535300,188215000,188215000,188215000,-666666666,-666666666,381,1240,110010019013
45,458,28,78516,,299,128,171,451,440,,,1359,459100,1208,171,128,0,0,0,0,24,0,0,40,372,25,211,0,,,,,128,,,,35.7,,,,171,125,32,299,171,147,,,,11,001,001901,2,,,,73,73,1058,33.5,45,680,0,385,299,201,116,8,77,128,213,8,761,451,11,,,,372,299,299,171,55,128,0,40,0,,0,0,0,0,,,,,,,,,0,,,286,48,,,,440,440,399,,,,,,,,,,,,1058,39.4,43.1,-666666666.0,39.4,53,,,,,,,,,,,,,,,,,,,,,,,,,399,0,0,11,68,69,27,25,31,27,,116,,,,,,645,0,0,0,0,0,8,21,916,211,139,72,52,20,0,38,0,0,0,299,40,8,22,8,0,0,0,9,8,15,,34071,,,,634,281,299,171,58,113,0,0,0,171,7,0,0,0,0,0,9,0,,372,3.54,,,299,,1058,33,17,11,75,299,171,0,1941,299,171,2011,1995,299,284,372,0,299,299,299,299,438,372,,299,299,372,,299,128,128,128,-666666666,2029,157300,0,-666666666,128,188400,,188400,128,128,31.3,322900,632800,,73387200,73387200,-666666666,-666666666,171,1577,110010019012
62,843,0,114881,,646,87,559,915,884,,,917,479900,790,559,87,0,0,0,82,0,8,0,0,758,130,114,1956,,,,,87,,,,17.4,,,,559,367,65,646,559,474,,,,11,001,009901,2,,,,112,112,1762,50.1,74,1447,193,50,646,432,309,16,107,208,252,77,1535,915,31,,,,758,646,646,559,174,87,0,19,0,,0,0,0,0,,,,,,,,,82,,,244,14,,,,884,884,831,,,,,,,,,,,,1762,34.7,55.1,4.8,34.5,112,,,,,,,,,,,,,,,,,,,,,,,,,831,0,10,27,104,241,113,81,22,7,,309,,,,,,1355,8,0,0,19,0,0,6,1655,162,162,0,0,0,0,16,0,0,0,646,42,24,21,16,20,17,7,6,17,7,,48979,,,,1075,520,646,559,544,15,0,0,0,559,15,0,0,0,0,0,0,0,,758,2.70,,,646,,1746,28,0,264,222,646,559,1956,1956,646,559,1994,1993,646,620,758,0,646,646,646,646,1238,758,,646,646,758,,646,72,72,87,754,1609,78900,0,-666666666,87,94300,,94300,87,87,19.9,350500,651000,,,261050000,-666666666,40320000,559,1692,110010099012
659,516,10,61429,,662,450,212,786,750,,,1054,634300,1054,212,450,25,0,0,0,64,20,25,23,697,8,355,0,,,,,450,,,,23.5,,,,212,151,30,662,212,185,,,,11,001,008402,2,,,,35,35,1248,41.3,764,402,16,111,662,151,144,5,2,129,342,74,1215,786,36,,,,697,662,662,212,76,450,0,62,0,,6,0,5,11,,,,,,,,,0,,,28,118,,,,750,750,709,,,,,,,19090,,,,,1248,33.7,71.5,27.7,33.7,824,,,,,,,,,,,,,,,,,,,,,,,,,709,0,20,39,197,101,52,111,30,25,,144,,,,,,1177,0,0,0,0,5,0,8,1220,8,8,0,0,0,0,0,0,0,0,662,121,54,38,8,21,7,7,12,5,54,,60404,,,,896,412,662,212,0,159,9,0,7,212,0,0,0,0,0,0,0,0,,697,1.87,,,662,,1235,130,128,52,2,662,212,1960,0,662,212,2011,2004,662,309,697,23,662,662,662,662,515,697,,662,662,697,,662,443,443,450,302,1824,545000,25,,450,571100,571100,571100,450,450,29.1,419000,837300,133805000,,133805000,-666666666,-666666666,212,2011,110010084022
421,424,0,-666666666,,345,217,128,581,553,,,2380,750000,2209,128,217,39,0,0,0,0,37,7,27,431,38,236,0,,,,,217,,,,20.0,,,,128,128,20,345,128,120,,,,11,001,010600,3,,,,86,86,781,37.8,421,273,87,0,345,142,123,11,8,152,257,113,742,581,28,,,,431,345,345,128,36,217,0,0,58,,114,0,0,0,,,,,,,,,0,,,39,35,,,,536,536,455,,,,,,,17785,,,,,781,36.6,47.8,-666666666.0,36.6,421,,,,,,,,,,,,,,,,,,,,,,,,,455,0,0,34,0,25,12,26,124,65,,123,,,,,,703,0,0,0,0,0,0,0,765,23,23,0,0,0,0,0,0,0,0,345,58,0,0,0,11,0,0,7,0,9,,65144,,,,731,413,345,128,47,81,0,0,0,128,0,0,0,0,0,0,0,0,,431,2.03,,,345,,700,0,7,36,0,345,128,0,0,345,128,2010,2004,345,167,431,43,345,345,345,345,373,431,,345,345,431,,345,190,190,217,1536,2452,377400,39,,217,403400,,403400,217,217,18.8,388900,875000,,,80715000,-666666666,-666666666,128,3235,110010106003
944,617,0,144375,,659,227,432,915,915,,,2118,461500,2118,432,227,0,0,0,0,13,0,0,56,697,0,674,0,,,,,227,,,,13.3,,,,432,325,25,659,432,343,,,,11,001,000600,1,,,,38,38,1305,42.7,1072,119,13,229,659,200,173,0,27,38,233,94,1189,915,0,,,,697,659,659,432,211,227,0,0,0,,0,0,0,0,,,,,,,,,0,,,103,67,,,,902,902,878,,,,,,,,,,,,1305,42.8,56.7,-666666666.0,45.2,1110,,,,,,,,,,,,,,,,,,,,,,,,,878,0,16,57,116,202,125,196,12,104,,173,,,,,,983,0,0,0,0,0,0,0,1275,86,86,0,0,0,0,0,0,0,0,659,0,86,0,0,0,0,0,0,0,0,,88064,,,,962,522,659,432,52,51,0,0,0,432,0,0,0,0,0,0,0,0,,697,1.98,,,659,,1305,0,0,0,23,659,432,0,0,659,432,2011,2008,659,410,697,33,659,659,659,659,583,697,,659,659,697,,659,227,227,227,1514,2329,408700,0,-666666666,227,413400,,413400,227,227,19.9,332400,848600,,248105000,248105000,-666666666,-666666666,432,1643,110010006001
773,460,41,111531,,499,268,231,397,378,,,1500,831600,1500,231,268,0,0,0,0,25,34,12,7,499,32,188,1965,,,,,268,,,,14.4,,,,231,177,72,499,231,185,,,,11,001,001402,2,,,,0,0,1067,48.5,889,88,28,170,499,213,206,0,7,47,191,56,861,397,19,,,,499,499,499,231,36,268,0,48,0,,0,0,160,55,,,,,,,,,0,,,212,7,,,,371,371,339,,,,,,,,,,,,1067,45.8,60.5,89.2,62.2,900,,,,,,,,,,,,,,,,,,,,,,,,,339,10,0,24,45,88,22,80,0,18,,206,,,,,,843,0,13,0,0,0,0,0,961,106,66,40,40,0,0,0,0,0,0,499,48,0,0,9,39,11,9,9,0,11,,72449,,,,415,185,499,231,195,27,0,0,0,231,0,0,0,0,0,0,0,0,,499,2.04,,,499,,1016,11,7,30,16,499,231,1965,0,499,231,2008,2007,499,345,499,13,499,499,499,499,504,499,,499,499,499,,499,268,268,268,-666666666,2212,418700,0,-666666666,268,430900,430900,430900,268,268,39.7,681900,950900,,,236070000,-666666666,-666666666,231,3285,110010014022
128,870,81,69904,,563,254,309,998,897,,,1276,507400,1181,309,254,54,0,0,0,13,0,0,0,637,168,359,0,,,,,254,,,,16.7,,,,309,203,11,563,309,240,,,,11,001,002002,2,,,,74,74,1646,34.1,219,851,39,603,563,310,158,44,108,233,263,38,1264,1004,101,,,,637,563,563,309,151,254,0,18,12,,0,0,11,12,,,,,,,,,0,,,284,56,,,,872,872,840,,,,,,,,,,,,1646,32.2,42.6,33.7,33.4,244,,,,,,,,,,,,,,,,,,,,,,,,,840,0,20,100,59,157,26,246,0,61,,158,,,,,,1096,0,6,54,18,7,8,0,1493,246,97,149,47,95,7,26,7,7,7,563,30,69,27,44,64,0,0,0,21,6,,34700,,,,1098,581,563,309,15,201,0,0,0,309,0,0,0,0,0,0,0,0,,637,2.88,,,563,,1619,0,6,29,52,563,309,0,0,563,309,2007,1994,563,323,637,66,563,563,563,563,647,637,,563,563,637,,563,254,254,254,1007,1375,296500,54,49700,254,319000,,319000,254,254,51.0,270800,669600,145095000,,145095000,-666666666,-666666666,309,1231,110010020022
76,434,0,97635,,386,268,118,739,739,,,1188,367600,1084,118,268,32,0,0,0,23,17,0,34,485,113,129,1950,,,,,268,,,,16.3,,,,118,68,52,386,118,118,,,,11,001,002101,5,,,,99,99,1110,31.9,76,562,128,314,386,143,125,0,18,159,133,0,899,739,0,,,,485,386,386,118,47,268,0,7,0,,0,0,0,16,,,,,,,,,0,,,0,93,,,,739,739,726,,,,,,,,,,,,1110,31.2,30.8,63.2,31.2,76,,,,,,,,,,,,,,,,,,,,,,,,,726,0,0,0,18,239,0,253,13,0,,125,,,,,,823,0,0,54,0,0,0,31,899,0,0,0,0,0,0,0,0,0,0,386,7,0,0,0,0,17,18,23,0,108,,45175,,,,808,343,386,118,0,84,0,0,0,118,0,0,0,0,0,0,0,0,,485,2.88,,,386,,1110,100,23,0,104,386,118,1952,0,386,118,2011,1996,386,239,485,0,386,386,386,386,446,485,,386,386,485,,386,268,268,268,847,1182,282500,32,,268,305700,,305700,268,268,20.7,287500,628700,,,,-666666666,-666666666,118,1375,110010021015
254,510,51,97917,,353,91,262,607,578,,,1779,532000,1664,262,91,0,0,0,0,0,0,20,10,372,59,261,0,,,,,91,,,,16.9,,,,262,180,42,353,262,214,,,,11,001,002400,2,,,,19,19,1106,45.6,348,516,20,295,353,224,153,7,64,118,219,4,919,607,29,,,,372,353,353,262,78,91,0,0,0,,0,0,9,0,,,,,,,,,0,,,183,36,,,,578,578,568,,,,,,,,,,,,1106,37.7,60.1,27.5,37.4,378,,,,,,,,,,,,,,,,,,,,,,,,,568,7,0,0,44,74,46,185,49,14,,153,,,,,,848,26,36,0,0,12,0,0,978,67,54,13,13,0,0,0,0,0,0,353,0,0,0,0,10,0,0,27,0,27,,41297,,,,749,388,353,262,70,168,0,0,9,262,19,0,0,0,0,0,0,0,,372,3.06,,,353,,1080,0,0,10,33,353,262,0,0,353,262,2003,1998,353,307,372,0,353,353,353,353,516,372,,353,353,372,,353,71,71,91,993,1970,117500,0,-666666666,91,124400,,124400,91,91,24.3,432600,655100,132033100,,132033100,-666666666,-666666666,262,1859,110010024002
1020,764,63,114194,,550,165,385,1051,1012,,,1737,886500,1695,385,165,34,0,0,0,0,0,0,0,619,15,540,0,,,,,165,,,,19.7,,,,385,306,35,550,385,325,,,,11,001,002702,3,,,,69,69,1546,38.2,1156,60,39,338,550,320,294,0,26,178,393,60,1329,1051,39,,,,619,550,550,385,44,165,0,16,0,,0,0,0,0,,,,,,,,,0,,,202,0,,,,1002,1002,926,,,,,,,,,,,,1546,34.6,49.2,47.2,41.1,1338,,,,,,,,,,,,,,,,,,,,,,,,,926,30,0,28,23,181,86,261,60,75,,294,,,,,,1180,0,0,0,0,0,0,0,1418,139,139,0,0,0,0,0,0,0,0,550,16,0,0,0,0,0,14,0,0,13,,71908,,,,1263,594,550,385,27,330,11,17,0,385,0,0,0,0,0,0,0,0,,619,2.81,,,550,,1546,28,19,17,0,550,385,0,0,550,385,2010,2002,550,485,619,17,550,550,550,550,729,619,,550,550,619,,550,165,165,165,1469,1922,301600,34,,165,317500,,317500,165,165,24.4,662600,1107600,,,332487800,-666666666,-666666666,385,2745,110010027023
508,897,61,84500,,602,369,233,992,956,,,1395,615000,1294,233,369,0,0,0,0,59,21,22,3,626,39,296,1944,,,,,369,,,,19.2,,,,233,193,34,602,233,166,,,,11,001,003500,1,,,,24,24,1590,32.0,535,680,110,181,602,218,139,35,44,165,400,56,1259,992,36,,,,626,602,602,233,58,369,0,7,20,,19,0,20,15,,,,,,,,,0,,,327,44,,,,926,926,903,,,,,,,26315,,,,,1590,30.6,34.4,29.2,30.2,591,,,,,,,,,,,,,,,,,,,,,,,,,903,0,3,79,97,189,11,287,24,34,,139,,,,,,1167,0,0,35,0,0,16,23,1432,178,123,55,55,0,0,27,0,0,0,602,27,22,42,51,29,22,0,0,36,10,,45023,,,,1126,667,602,233,18,177,0,12,12,233,0,0,0,0,0,0,0,0,,626,2.64,,,602,,1590,29,75,41,92,602,233,1942,0,602,233,2011,2004,602,349,626,16,602,602,602,602,499,626,,602,602,626,,602,354,354,369,998,2417,599600,0,-666666666,369,657100,,657100,369,369,37.5,495600,731500,149857800,,149857800,-666666666,-666666666,233,2227,110010035001
2136,1593,99,184464,,1784,770,1014,2891,2820,,,2740,661700,2588,1014,770,42,0,0,0,26,78,11,27,1826,0,349,2004,,,,,770,,,,20.3,,,,1014,890,83,1784,1014,835,,,,11,001,004400,1,,,,42,42,3325,33.7,2281,674,238,191,1784,421,386,11,24,37,1053,165,3226,2891,71,,,,1826,1784,1784,1014,552,770,0,0,16,,42,161,1128,42,,,,,,,,,0,,,99,27,,,,2815,2815,2599,,,,,,,,,,,,3325,32.7,44.5,43.4,32.7,2382,,,,,,,,,,,,,,,,,,,,,,,,,2599,0,98,128,415,445,316,643,209,141,,386,,,,,,3128,0,30,0,0,0,0,0,3226,0,0,0,0,0,0,0,0,0,0,1784,45,15,12,29,43,43,15,0,26,89,,110952,,,,2951,1399,1784,1014,0,253,15,18,32,1014,27,0,0,0,0,0,0,0,,1826,1.85,,,1784,,3300,17,40,19,28,1784,1014,2004,2003,1784,1014,2012,2011,1784,504,1826,227,1784,1784,1784,1784,1372,1826,,1784,1784,1826,,1784,742,742,770,2170,3149,1942800,42,,770,2024200,2024200,2024200,770,770,23.2,536700,832400,704821700,,704821700,-666666666,-666666666,1014,2743,110010044001
743,572,30,123993,,549,276,273,975,975,,,1854,645200,1750,273,276,21,0,0,0,0,33,6,0,578,0,500,0,,,,,276,,,,16.7,,,,273,186,25,549,273,194,,,,11,001,006700,1,,,,29,29,1344,39.1,901,350,53,158,549,276,225,27,24,42,327,98,1176,975,0,,,,578,549,549,273,71,276,0,0,0,,0,0,35,0,,,,,,,,,0,,,94,7,,,,959,959,882,,,,,,,,,,,,1344,36.0,39.3,32.9,35.9,929,,,,,,,,,,,,,,,,,,,,,,,,,882,1,15,50,70,118,61,182,109,87,,225,,,,,,1124,0,0,18,0,0,0,0,1263,87,87,0,0,0,0,0,0,0,0,549,0,9,7,0,0,10,0,24,0,10,,72257,,,,963,346,549,273,11,193,0,17,26,273,0,0,0,0,0,0,0,0,,578,2.42,,,549,,1326,8,17,0,18,549,273,0,0,549,273,2011,1998,549,356,578,34,549,549,549,549,555,578,,549,549,578,,549,276,276,276,1213,2768,551300,21,,276,576900,,576900,276,276,21.6,470100,889300,188596000,,188596000,-666666666,-666666666,273,2390,110010067001
139,495,65,48043,,514,406,108,638,638,,,1252,390900,1191,108,406,0,0,0,0,46,55,17,0,567,49,126,1959,,,,,406,,,,20.0,,,,108,96,0,514,108,70,,,,11,001,002502,1,,,,53,53,1114,30.4,193,379,53,515,514,156,46,58,52,24,233,13,856,638,0,,,,567,514,514,108,46,406,0,21,46,,0,159,116,0,,,,,,,,,0,,,140,93,,,,621,621,621,,,,,,,17900,,,,,1114,32.7,31.4,26.7,32.3,231,,,,,,,,,,,,,,,,,,,,,,,,,621,0,46,52,100,66,67,95,20,27,,46,,,,,,807,0,0,12,42,41,0,0,998,142,43,99,69,30,0,27,0,0,0,514,103,0,22,26,12,24,0,60,46,36,,32749,,,,738,363,514,108,0,77,0,17,0,108,0,0,0,0,0,0,0,0,,567,2.17,,,514,,1114,0,0,0,117,514,108,2002,1941,514,108,2012,2003,514,242,567,79,514,514,514,514,381,567,,514,514,567,,514,334,334,406,715,1415,381500,0,-666666666,406,403700,,403700,406,406,30.7,329500,651300,,,,-666666666,-666666666,108,1852,110010025021
570,793,21,89200,,640,339,301,1171,1109,,,1518,684300,1401,301,339,27,0,0,13,11,16,9,6,760,30,475,0,,,,,339,,,,15.0,,,,301,223,0,640,301,217,,,,11,001,002900,1,,,,120,120,1860,30.9,677,704,76,395,640,242,134,0,108,192,350,52,1437,1171,62,,,,760,640,640,301,99,339,0,45,30,,8,14,20,0,,,,,,,,,13,,,300,124,,,,1093,1093,995,,,,,,,34520,,,,,1860,30.1,34.8,34.6,30.5,804,,,,,,,,,,,,,,,,,,,,,,,,,995,0,9,31,57,146,120,233,47,114,,134,,,,,,1348,3,23,24,10,0,0,0,1776,353,176,177,131,23,23,31,0,0,0,640,82,6,0,30,11,0,37,9,8,18,,48035,,,,1291,602,640,301,35,177,9,30,0,301,0,0,0,0,0,0,7,0,,760,2.91,,,640,,1860,37,40,51,85,640,301,0,0,640,301,2011,2009,640,399,760,5,640,640,640,640,587,760,,640,640,760,,640,338,338,339,977,1816,498200,27,,339,531000,,531000,339,339,25.5,487500,899800,207611700,,207611700,-666666666,,301,1943,110010029001
81,251,0,76500,,332,156,176,363,351,,,1291,415600,1274,176,156,35,0,0,0,10,0,0,0,390,82,109,1952,,,,,156,,,,14.0,,,,176,84,8,332,176,142,,,,11,001,002102,2,,,,58,58,584,42.7,112,396,27,59,332,95,75,12,8,55,153,8,535,363,12,,,,390,332,332,176,75,156,0,0,13,,0,12,63,0,,,,,,,,,0,,,49,0,,,,325,325,300,,,,,,,,,,,,584,30.4,49.5,-666666666.0,30.0,121,,,,,,,,,,,,,,,,,,,,,,,,,300,0,29,35,0,52,23,45,23,10,,75,,,,,,515,0,0,0,0,0,0,0,563,28,28,0,0,0,0,38,18,18,0,332,21,39,18,0,10,0,23,0,12,31,,45595,,,,426,200,332,176,34,49,11,0,12,176,16,0,0,0,0,0,0,0,,390,1.76,,,332,,584,0,62,42,20,332,176,1948,1945,332,176,2011,2010,332,201,390,10,332,332,332,332,295,390,,332,332,390,,332,156,156,156,674,1408,165300,35,,156,188300,,188300,156,156,19.4,256800,583300,62739600,,62739600,-666666666,-666666666,176,-666666666,110010021022
158,382,55,92656,,255,95,160,445,385,,,1424,611900,1354,160,95,33,0,0,0,0,0,8,23,376,67,179,1941,,,,,95,,,,15.3,,,,160,144,41,255,160,133,,,,11,001,002202,2,,,,121,121,666,35.1,191,407,27,33,255,191,81,41,69,25,155,26,545,445,60,,,,376,255,255,160,24,95,0,12,0,,0,0,0,0,,,,,,,,,0,,,121,53,,,,385,385,375,,,,,,,,,,,,666,32.3,53.5,-666666666.0,32.3,232,,,,,,,,,,,,,,,,,,,,,,,,,375,0,8,10,10,71,38,44,30,84,,81,,,,,,536,0,0,0,0,0,15,0,594,49,49,0,0,0,0,32,0,0,0,255,12,30,0,0,0,0,10,49,0,8,,48476,,,,457,226,255,160,8,152,0,0,0,160,0,0,0,0,0,0,11,0,,376,2.61,,,255,,666,0,32,32,66,255,160,0,0,255,160,2010,2006,255,171,376,0,255,255,255,255,254,376,,255,255,376,,255,95,95,95,-666666666,1612,108900,33,,95,121300,,121300,95,95,22.9,516700,707100,92251300,,,-666666666,-666666666,160,2556,110010022022
672,424,59,126875,,501,367,134,521,464,,,1792,885100,1768,134,367,41,0,0,0,0,27,17,0,542,139,206,1945,,,,,367,,,,12.7,,,,134,85,36,501,134,84,,,,11,001,001200,2,,,,41,41,885,37.6,741,49,22,69,501,105,83,0,22,16,307,13,702,521,57,,,,542,501,501,134,39,367,0,0,0,,0,0,0,0,,,,,,,,,0,,,183,0,,,,464,464,403,,,,,,,12615,,,,,885,33.9,64.6,-666666666.0,38.0,814,,,,,,,,,,,,,,,,,,,,,,,,,403,0,0,12,25,78,0,128,50,43,,83,,,,,,691,0,0,0,0,5,0,0,811,109,89,0,0,0,0,10,10,0,0,501,0,10,14,12,0,13,0,0,0,64,,90193,,,,570,295,501,134,98,22,0,0,0,134,0,0,0,0,0,0,0,0,,542,1.75,,,501,,876,13,13,30,141,501,134,1943,0,501,134,2011,2005,501,340,542,50,501,501,501,501,459,542,,501,501,542,,501,367,367,367,1435,2304,686200,41,,367,691000,,691000,367,367,21.2,772000,998300,126210000,,126210000,-666666666,-666666666,134,3391,110010012002
718,356,18,196875,,295,70,225,560,560,,,2417,907200,2313,225,70,46,0,0,0,0,0,0,21,341,57,108,1951,,,,,70,,,,15.5,,,,225,150,14,295,225,188,,,,11,001,001200,3,,,,46,46,794,35.1,736,13,0,18,295,198,180,0,18,13,79,65,587,560,0,,,,341,295,295,225,55,70,0,0,0,,0,0,0,0,,,,,,,,,0,,,207,21,,,,560,560,537,,,,,,,,,,,,794,35.4,-666666666.0,-666666666.0,35.2,781,,,,,,,,,,,,,,,,,,,,,,,,,537,0,22,14,14,51,137,179,30,63,,180,,,,,,546,0,0,0,0,0,0,0,776,189,146,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,,109862,,,,539,257,295,225,117,81,0,0,0,225,0,0,0,0,0,0,0,0,,341,2.69,,,295,,794,41,36,0,99,295,225,1947,1953,295,225,2004,2000,295,128,341,0,295,295,295,295,,341,,295,295,341,,295,70,70,70,2156,2469,171600,46,,70,180900,,180900,70,70,20.8,803800,1044900,,,205315000,-666666666,-666666666,225,2614,110010012003
