,Logistic Regression,Random Forest Classifier,Support Vector Classifier
Accuracy,0.83,0.8233333333333334,0.81
MSE,0.17,0.17666666666666667,0.19
Precision,0.810126582278481,0.7857142857142857,0.7771084337349398
Recall,0.8590604026845637,0.8859060402684564,0.8657718120805369
F1 Score,0.8338762214983714,0.832807570977918,0.819047619047619
ROC AUC,0.9105738032801459,0.9155962487221655,N/A
